mode,t,h,log_h,H,T_model,p_model,log_screen_probability,log_crossing_flux,integration_error,numeric_status,elapsed_microseconds
conditional29,0.84375,0.18294533674185059,-1.6985678770910229,0.57050882458801899,0.56523775864672543,0.10340761209483405,-0.07411928638213619,-1.7726871634731591,3.4083499711443447e-17,ok,21
conditional29,0.8671875,0.17121932329926459,-1.7648099519051099,0.57465811515271181,0.56289728196479338,0.096378891705007255,-0.068334677328731899,-1.8331446292338418,2.9482482693004438e-17,ok,21
conditional29,0.890625,0.16003948509768798,-1.8323347123333948,0.57853899757510119,0.56071697728716341,0.089736856330569631,-0.062924251368902256,-1.8952589637022972,2.9526892046152101e-17,ok,21
conditional29,0.9140625,0.14939528625226658,-1.9011595579708174,0.58216415089273521,0.55868797222596545,0.083465349536396477,-0.057870339267550835,-1.9590298972383682,2.5758263558614862e-17,ok,21
conditional29,0.9375,0.13927544536533346,-1.9713016853396887,0.58554599834324028,0.55680176596008535,0.077548813934295052,-0.053155624198377903,-2.0244573095380667,2.4679992697543413e-17,ok,21
conditional29,0.9609375,0.12966799482442207,-2.0427779812223914,0.58869669060887597,0.55505021568947732,0.071972248495317498,-0.048763167627056556,-2.0915411488494478,2.3037536323121213e-17,ok,21
conditional29,0.984375,0.12056033309295891,-2.1156049617865018,0.59162809035253117,0.55342552410316781,0.066721165528023277,-0.04467643190306237,-2.1602813936895644,2.2129890541614509e-17,ok,19
conditional29,1.0078125,0.11193927581988976,-2.1897987348994197,0.59435175795813422,0.55192022782497874,0.061781550613076691,-0.040879300547152726,-2.2306780354465725,2.0003343621354736e-17,ok,19
conditional29,1.03125,0.10379110825678088,-2.2653749741856504,0.59687893848143048,0.55052718674934786,0.057139826838202588,-0.037356096598981078,-2.3027310707846316,1.860721893131726e-17,ok,19
conditional29,1.0546875,0.096101639832764693,-2.3423488993349855,0.59922054985387385,0.54923957416050395,0.052782823737873803,-0.03409159911949005,-2.3764404984544756,1.7288670810120265e-17,ok,19
conditional29,1.078125,0.08885626096601619,-2.4207352601672758,0.60138717239211703,0.54805086752453469,0.048697750907411623,-0.031071057836291768,-2.4518063180035674,1.6045300360319215e-17,ok,19
conditional29,1.1015625,0.08204000183695874,-2.5005483233869441,0.60338903966274704,0.5469548398471894,0.044872176065796888,-0.028280205886332999,-2.5288285292732771,1.4224122471020705e-17,ok,19
conditional29,1.125,0.075637592688606106,-2.5818018616025378,0.60523603074335341,0.54594555149670954,0.041294007254264548,-0.02570527060724221,-2.60750713220978,1.3448921605131039e-17,ok,19
conditional29,1.1484375,0.069633525147738462,-2.6645091444566935,0.60693766390987658,0.54501734239883359,0.037951478817882765,-0.023332982338692632,-2.687842126795386,1.241609150576043e-17,ok,19
conditional29,1.171875,0.064012114030062642,-2.7486829318142609,0.60850309176790673,0.54416482451964754,0.034833140798300709,-0.021150581210207898,-2.7698335130244689,1.1123033928797839e-17,ok,19
conditional29,1.1953125,0.058757559083326166,-2.8343354689864269,0.60994109783288009,0.54338287456078171,0.03192785135687274,-0.019145821908862593,-2.8534812908952896,1.0542908286203214e-17,ok,19
conditional29,1.21875,0.053854006126453878,-2.9214784839694325,0.61126009455134966,0.54266662680042743,0.029224771844332278,-0.017306976437897154,-2.9387854604073298,9.6972960197452813e-18,ok,19
conditional29,1.2421875,0.049285607056890529,-3.010123186665751,0.61246812274295304,0.54201146602262973,0.026713364134720502,-0.01562283489468988,-3.0257460215604408,8.9088172131173395e-18,ok,19
conditional29,1.265625,0.045036578220919339,-3.1002802700411762,0.61357285243057802,0.54141302048621998,0.024383389846951851,-0.014082704313404111,-3.1143629743545804,7.8495765452042738e-18,ok,20
conditional29,1.2890625,0.041091256671840368,-3.1919599131560785,0.61458158501472548,0.5408671548934656,0.022224911087095435,-0.012676405633656589,-3.2046363187897353,7.1674760999047138e-18,ok,19
conditional29,1.3125,0.0374341538776779,-3.2851717859944118,0.61550125673735134,0.54036996332696874,0.020228292358056912,-0.011394268871490833,-3.2965660548659028,6.5346606179577807e-18,ok,19
conditional29,1.3359375,0.034050006482647818,-3.3799250560005012,0.616338443370685,0.53991776213142617,0.018384203300671764,-0.010227126582581403,-3.3901521825830825,6.2738294596522468e-18,ok,19
conditional29,1.359375,0.03092382377397742,-3.4762283962215128,0.61709936605779192,0.53950708272450276,0.016683621950985182,-0.0091663057197628219,-3.4853947019412757,5.4066808779891648e-18,ok,21
conditional29,1.3828125,0.028040931556787364,-3.5740899949429439,0.61778989822407637,0.53913466432818269,0.015117838222318101,-0.0082036179975358645,-3.5822936129404797,5.0691564714937096e-18,ok,24
conditional29,1.40625,0.025387012193520835,-3.6735175666956512,0.61841557347257592,0.53879744661849249,0.01367845734714156,-0.0073313488850442581,-3.6808489155806954,4.7709506794082635e-18,ok,20
conditional29,1.4296875,0.02294814061973173,-3.7745183645058518,0.6189815943708421,0.53849256229736242,0.012357403042279521,-0.0065422453560708719,-3.7810606098619228,4.3470810272597378e-18,ok,20
conditional29,1.453125,0.020710816203817164,-3.8770991932543235,0.61949284203344079,0.53821732959559376,0.011146920190963626,-0.0058295025298398511,-3.8829286957841633,3.6326331283383473e-18,ok,20
conditional29,1.4765625,0.018661990373447235,-3.981266424007583,0.61995388640165472,0.53796924472037033,0.010039576866182232,-0.0051867493398333846,-3.9864531733474164,3.3572324299112132e-18,ok,20
conditional29,1.5,0.016789089985011187,-4.0870260091822068,0.62036899712078841,0.53774597426450854,0.0090282655510043434,-0.0046080333694752751,-4.0916340425516822,3.0308542231021571e-18,ok,21
midpoint,0,0,-inf,0,1,0,0,-inf,0,exact_zero,0
midpoint,0.0234375,0.010044057857497143,-4.6007740772994525,1.2747406151491713e-05,0.99998725267509636,0.010043929822628283,-1.2747634252963103e-05,-4.6007868249337056,1.1490828892236109e-11,ok,1263
midpoint,0.046875,1.8246931008909362,0.60141180899794411,0.016548833802157017,0.9835873459079989,1.7947450442019524,-0.016548833802153995,0.58486297519579011,5.5484344502859983e-10,ok,544
midpoint,0.0703125,2.8362014341095976,1.0424656336897158,0.075548616747077524,0.92723465030570529,2.6298242449531526,-0.075548616747615038,0.96691701694210064,1.0917597227471931e-13,ok,503
midpoint,0.09375,2.5012138489127649,0.91677615360306752,0.13919953891688805,0.87005440142325874,2.1761921181473607,-0.13919939796491831,0.77757675563814921,2.7212853102995673e-15,ok,442
midpoint,0.1171875,1.9441482046758567,0.66482394010553425,0.19126030528097387,0.82591756946217776,1.6057061598801401,-0.1912140277706742,0.47360991233486005,1.0152311266444215e-15,ok,425
midpoint,0.140625,1.4864311379250825,0.39637803740826316,0.23116964953964078,0.7936048199218837,1.1796389155393159,-0.23053538239273375,0.16584265501552942,2.9398128737530921e-16,ok,426
midpoint,0.1640625,1.1747010270858287,0.16101367018615531,0.26209548527227278,0.76943755024583271,0.90385908055218356,-0.25968041614388482,-0.098666745957729507,2.1974127927131798e-16,ok,402
midpoint,0.1875,0.97363630323463257,-0.026717450375973839,0.28709741552365459,0.75043862090497593,0.73065428466241666,-0.28234720529976698,-0.30906465567574082,2.3596416324887896e-14,ok,402
midpoint,0.2109375,0.84405774296569824,-0.1695343708903011,0.30828959934871597,0.73470251782649632,0.62013134894784816,-0.30166757925138732,-0.47120195014168842,1.505795227179007e-16,ok,372
midpoint,0.234375,0.75902712387075733,-0.27571776589992592,0.3270079922693751,0.72107797995412082,0.54731774521111198,-0.31919968769028562,-0.59491745359021153,1.971109133102302e-14,ok,363
midpoint,0.2578125,0.70179872273202615,-0.35410863582324204,0.34408458360903205,0.70886896681813349,0.49748333549733709,-0.33542758377400828,-0.68953621959725031,1.2654064970730141e-16,ok,371
midpoint,0.28125,0.66202389865068989,-0.41245362301594235,0.36004019717510621,0.69764828201723417,0.46185983554800536,-0.35040428944450031,-0.76285791246044266,1.1337145313969292e-16,ok,367
midpoint,0.3046875,0.63318554834132623,-0.45699177444905281,0.37520181173992334,0.68715058974079868,0.43509382295809329,-0.36407116274701057,-0.82106293719606338,1.1293392134218377e-16,ok,367
midpoint,0.328125,0.61107582205951994,-0.49253423248592798,0.38977298332427091,0.67721059514700799,0.41382702113687464,-0.37636541846487159,-0.86889965095079957,1.0353440120772163e-16,ok,367
midpoint,0.3515625,0.59288909079426844,-0.52274792817789939,0.40387641902049815,0.66772663448182079,0.39588783721704351,-0.38724266304023158,-0.90999059121813097,1.0021093783213963e-16,ok,364
midpoint,0.375,0.57669256262127977,-0.55044597488700309,0.41758006176689338,0.65863875795437321,0.37983207316640433,-0.39667412811354541,-0.9471201030005485,9.7370238069027212e-17,ok,364
midpoint,0.3984375,0.5611303436295163,-0.57780205886097635,0.43091373181098752,0.64991497534435538,0.36468701344494675,-0.40464012465293464,-0.98244218351391099,9.4741423908531499e-17,ok,364
midpoint,0.421875,0.54526430569002726,-0.60648463730734625,0.44388058751508042,0.64154202438083019,0.34980996649498791,-0.41112596295896608,-1.0176106002663123,9.2135051261926401e-17,ok,353
midpoint,0.4453125,0.5284883987061334,-0.63773442527298096,0.45646581520783447,0.63351866572728677,0.33480726520065995,-0.41612129114267427,-1.0538557164156552,9.4627591577662904e-17,ok,341
midpoint,0.46875,0.51047612736932146,-0.67241140570430546,0.46864376051550261,0.62585049610686161,0.31948173756479931,-0.41962214020661592,-1.0920335459109214,8.6529505748474124e-17,ok,339
midpoint,0.4921875,0.49113695120053136,-0.71103226706407019,0.48038396777011444,0.6185458445351717,0.3037907202627621,-0.42163450896453469,-1.1326667760286049,8.3419189810824825e-17,ok,337
midpoint,0.515625,0.47056943094393339,-0.75381176241891357,0.49165617310994858,0.61161261854962057,0.28780620186902395,-0.42217828560773163,-1.1759900480266452,8.0093836202153563e-17,ok,337
midpoint,0.5390625,0.44900831259778151,-0.80071387783045178,0.50243412644549379,0.60505608277525247,0.27167521075393974,-0.42129046692815442,-1.2220043447586062,7.6581964489329705e-17,ok,338
midpoint,0.5625,0.42676914428155865,-0.85151205766573812,0.51269813316135504,0.598877545593963,0.2555824576625757,-0.41902693883074627,-1.2705389964964844,7.5532239331446405e-17,ok,336
midpoint,0.5859375,0.40419688555858974,-0.90585317924123843,0.52243633137190926,0.59307386192681866,0.23971860789702518,-0.41546246785498198,-1.3213156470962204,6.9194059979012804e-17,ok,334
midpoint,0.609375,0.38162448036505409,-0.96331818956561388,0.53164487191471199,0.58763758572433289,0.22425688829502347,-0.41068894464327921,-1.3740071342088931,6.5430615896408209e-17,ok,330
midpoint,0.6328125,0.35934470608881769,-1.0234731670843193,0.54032727972088157,0.58255756189487395,0.20933897585893171,-0.40481223460353044,-1.4282854016878499,6.4294303169771364e-17,ok,331
midpoint,0.65625,0.33759540919810782,-1.0859071146996304,0.54849331487309738,0.57781974727467589,0.19506929402394146,-0.39794817274806171,-1.483855287447692,5.8023169573686033e-17,ok,342
midpoint,0.6796875,0.31655579397195727,-1.1502557686625656,0.55615762330274843,0.57340808627576745,0.18151565202096615,-0.3902182763649874,-1.5404740450275529,5.4458186793134414e-17,ok,341
midpoint,0.703125,0.29635029505238825,-1.2162130951274315,0.5633383964629266,0.56930532102271236,0.16871379985997542,-0.38174566807205179,-1.5979587631994834,5.362454727502263e-17,ok,339
midpoint,0.7265625,0.27705660043359509,-1.2835334599727957,0.57005617654793062,0.56549367032495113,0.15667375386694712,-0.37265155253125914,-1.6561850125040549,4.7732698398334574e-17,ok,336
